Tag,ContractID,ContractName,ContractTypeName,SalesRepID,SalesRepName,CustomerID,CustomerName,CustomerAddress,ProductID,VendorID,ListPrice,UOM,Description,ContractPrice
2,1064,BUSINESS,Base,1,ERIC S.,10624,B SQUARED SUPPLY,"3984 SUNRISE HIGHWAY OAKDALE, NY 11769",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10632,SYNOVOS,"16888 STATE ROUTE 706 MONTROSE, PA 18801",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10749,BROOKLYN BREWERY,"79 NORTH 11TH ST BROOKLYN, NY 11211",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10750,CHAMPION PAINT,"1743 WEST FARMS RD BRONX, NY 10460",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10762,FRANKFORT COMPOUND,"322 OCEAN ROAD BRIDGEHAMPTON, NY 11932",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10767,JOS. LOWENSTEIN,"420 MORGAN AVE. BROOKLYN, NY 11222",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10776,LUXURY LASH NY,"141 FULTON STREET3RD FLOOR NEW YORK, NY 10038",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10779,NATIONAL ELEVATOR,"63 FLUSHING AVENUEBUILDING 22 BROOKLYN, NY 11205",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10782,NDB,"NDB@CLOTHING ACQUISITION LLC- DBA NDB2 PROTECTION377 PEARSALL AVENUE SUITE B CEDARHURST, NY 11516",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10783,NEW EAST SIDE NURSING HOME,"25 BIALYSTOKER PLACE NEW YORK, NY 10002",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10793,READY STRONG MEALS,"919 WILLOW AVE - APT 7 HOBOKEN, NJ 07030",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10794,REINAUER TRANSPORTATION COMPANIES (RTC),"REINAUER TRANSPORTATION COMPANIES1983 RICHMOND TERRACE STATEN ISLAND, NY 10302",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10801,ROLEX WATCH BUILDING,"ROLEX BUILDING665 5TH AVENUE NEW YORK, NY 10022",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10803,ROLEX WATCH LONG ISLAND CITY,"12-16 43RD AVENUE LONG ISLAND CITY, NY 11101",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10804,ROLEX WATCH PENNSYLVANIA,"1 WYNFIELD DRIVE LITITZ, PA 17543",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10897,CASH ACCOUNTS,"NINA COSENTINO32 MAPLE TERRACE STATEN ISLAND, NY 10306",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10901,CUMBERLAND PACKING CORP,"20 CUMBERLAND STREET BROOKLYN, NY 11205",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,10951,SUNOCO TERMINALS LP (ZENITH ENERGY),"25 PAIDGE AVE BROOKLYN NY, NY 11222",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11038,SAMPLES,"45-02 37TH AVENUE LONG ISLAND CITY, NY 11101",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11070,CPS EVENTS AT THE PLAZA ,"770 5TH AVENUE NEW YORK, NY 10019",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11095,PROPER HOSPITALITY SOLUTIONS,"2581 RICHMOND TERRACE STATEN ISLAND, NY 10303",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11127,DRS BOYD NYC,"515 MADISON AVE 5RD STREET - SUITE 1616 NEW YORK, NY 10022",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11148,ROLEX WATCH AT 650 FIFTH,"650 5TH AVENUE NEW YORK, NY 10019",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11261,LASH MAKER NY,"38 WEST 32ND STREET14TH FL, SUITE 1410 NEW YORK, NY 10001",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11262,LASH XTEND,"45 W 46 ST5TH FL NEW YORK, NY 10036",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11293,OOB - THE DECO FOOD AND DRINK,"231 WEST 39TH STREET NEW YORK, NY 10018",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11331,GLEN OAKS CLUB,"175 POST ROAD OLD WESTBURY, NY 11568",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11444,OOB - SWIFTARC VENTURES,"477 MADISON AVENUE6TH FLOOR NEW YORK, NY 10022",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11563,RS INTEGRATED SUPPLY US INC.,"2 RADNOR CORPORATE CENTER100 MATSONFORD RD SUITE #400 RADNOR, PA 19087",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11566,OOB - THE MINT,"11 STONE STREET  NEW YORK, NY 10004",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11608,AMAZIN STAYS,"4 AUDREY AVENUE PLAINVIEW, NY 11803",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11617,DSN BEACH CLUB,"125 OCEAN AVENUE DEAL, NJ 07723",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11631,THE WEEKS LERMAN GROUP,"58-38 PAGE PLACE MASPETH, NY 11378",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11650,RAY CATENA MERCEDES BENZ,"123 SOUTH MAIN STREET EDISON, NJ 08837",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11709,TRINITY SCHOOL,"139 WEST 91ST STREET NEW YORK, NY 10024",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11716,HIDE ROOFTOP,"24 JOHN STREET20TH FLOOR NEW YORK, NY 10038",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11724,RAFFLES & FAIRMONT CORPORATE OFFICE,"711 FIFTH AVENUE7TH FLOOR NEW YORK, NY 10022",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11729,RAY CATENA MERCEDES BENZ UNION,"95 PROGRESS STREET UNION, NJ 07083",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11733,RAY CATENA INFINITI BRIDGEWATER,"1350 US-22 BRIDGEWATER, NJ 08807",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11735,RAY CATENA LEXUS OAKHURST,"18 CINDY LANE OCEAN TOWNSHIP, NJ 07712",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11738,RAY CATENA BMW WESTCHESTER,"543 TARRYTOWN ROAD WHITE PLAINS, NY 10607",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11739,RAY CATENA LEXUS LARCHMONT,"1435 BOSTON POST ROAD LARCHMONT, NY 10538",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11773,WALSH GROUP,"46-01 37TH AVENUE LONG ISLAND CITY, NY 11101",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11777,FASANO RESTAURANT,"60 EAST 49TH STREET NEW YORK, NY 10017",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11798,SAINT PETER'S PREP,"144 GRAND STREET JERSEY CITY, NJ 07302",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11799,SELA RYERSON LLC,"36-37 36TH STREET2ND FLOOR QUEENS, NY 11106",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11813,RAY CATENA JLR EDISON,"920 ROUTE 1 EDISON, NJ 08817",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11815,BENJAMIN OFFICE SUPPLY,"758 EAST GUDE DRIVE  ROCKVILLE, MD 20850",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11819,"SHEPPARD ENTERPRISES, INC","571 HOLLOW ROAD PHOENIXVILLE, PA 19460",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11828,TIGRE,"107 RIVINGTON STREETHOTEL ON RIVINGTON NEW YORK, NY 10002",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11829,GREENBACKER CAPITAL,"230 PARK AVENUESUITE 1560 NEW YORK, NY 10169",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11837,NORTHERN CNY,"5917 GRAND AVENUE MASPETH, NY 11378",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11887,SL CLEAN TECH SERVICE SOLUTIONS,"65 EAST 2ND STREETSUITE B MINEOLA, NY 11501",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11902,ROLEX WATCH JACX,"2833 JACKSON AVENUE27TH FLOOR LONG ISLAND CITY, NY 11101",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11913,BAR LAB AT MOXY WILLIAMSBURG,"353 BEDFORD AVENUE BROOKLYN, NY 11211",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11915,WNC LAUNDRY,"532 N GROVE STREET EAST ORANGE, NJ 07017",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11916,TJDC ATMS LLC,"40 CONSTITUTION WAYUNIT 206 JERSEY CITY, NJ 07305",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11922,QUADRUM HOSPITALITY GROUP LLC,"261 FIFTH AVENUESUITE 1802 NEW YORK, NY 10016",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11924,LUMINA HR,"139 FULTON STUNIT 515 NEW YORK, NY 10038",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,11941,OLD WESTBURY GOLF & COUNTRY CLUB,"270 WHEATLEY ROAD OLD WESTBURY, NY 11568",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12004,CASA TUA NEW YORK,"20 EAST 76TH STREETTHE SURREY NEW YORK, NY 10021",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12023,NICOS CLEANING SERVICES CORP,"99-16 67TH ROAD FOREST HILL, NY 11375",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12047,EAST NY INDUSTRIAL & SAFETY SUPPLIES INC.,"257 HENDRIX STREET BROOKLYN, NY 11207",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12067,BANK STREET COLLEGE OF EDUCATION,"610 WEST 112TH STREET NEW YORK, NY 10025",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12069,COLUMBIA GRAMMAR & PREPARATORY SCHOOL,"5 WEST 93RD STREET NEW YORK, NY 10025",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12087,BRENT MATERIAL COMPANY,"308 NORTH 14TH STREET KENILWORTH, NJ 07033",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12095,GOTHAM CLEANERS,"200 CLIFTON BLVDSUITE 3 CLIFTON, NJ 07011",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12104,RAY CATENA MERCEDES BENZ FREEHOLD,"4380 ROUTE NINE SOUTH FREEHOLD, NJ 07728",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12116,LEGASEA BAR & GRILL,"485 7TH AVENUE NEW YORK, NY 10018",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12131,CISTO SERVICES,"7640 HARDING AVENUEUNIT 6 MIAMI BEACH, FL 33141",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12133,THE SPENCE SCHOOL,"22 EAST 91ST STREET NEW YORK, NY 10128",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12142,THE LINKS CLUB,"36 EAST 62ND STREET NEW YORK, NY 10065",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12195,NEUEHOUSE MADISON SQUARE,"110 EAST 25TH STREET NEW YORK, NY 10010",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12221,SZ&L ORAL SURGERY,"750 PARK AVENUE NEW YORK, NY 10021",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12241,CONVENT OF THE SACRED HEART,"1 EAST 91ST STREET NEW YORK, NY 10128",,,,,,
2,1064,BUSINESS,Base,1,ERIC S.,12242,WESTSIDE ORAL SURGERY,"119 WEST 57TH STREETSTE 914 NEW YORK, NY 10019",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,10634,PALATINE NURSING HOME,"154 LAFAYTTE STREET PALATINE BRIDGE, NY 13428",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,10667,AUTO SOLUTIONS,"10335 S DOLFIELD ROAD OWINGS MILLS, MD 21117",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,10689,SEAFARERS & INTERNATIONAL HOUSE,"123 EAST 15TH STREET NEW YORK, NY 10003",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,10751,CHESTNUT HILL NURSING & REHAB,"CHESTNUT HILL NURSING & REHABILITATION360 CHESTNUT STREET PASSAIC, NJ 07055",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,10813,THE GENERAL THEOLOGICAL SEMINARY,"440 WEST 21ST STREET NEW YORK, NY 10011",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11138,THE CHURCH OF THE TRANSFIGURATION,"1 EAST 29TH STREET NEW YORK, NY 10016",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11558,BRANDYWINE ASSISTED LIVING AT SUMMIT ,"41 SPRINGFIELD AVENUE SUMMIT, NJ 07901",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11627,EZ BUILDING MAINTENANCE,"51-71 47TH STREET WOODSIDE, NY 11377",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11779,MICHAEL J FOX FOUNDATION,"111 WEST 33RD STREETFLOOR 10 NEW YORK, NY 10120",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11796,WHITES APOTHECARY,"20 MAIN STREET SAG HARBOR, NY 11963",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11816,SWING STAGING LLC,"25-20 BORDEN AVENUE LONG ISLAND CITY, NY 11101",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11860,WINSTON FLOWERS,"23-37 BORDEN AVE LONG ISLAND CITY, NY 11101",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11929,BANDA STONE GALLERY,"50-20 25TH STREET LONG ISLAND CITY, NY 11101",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,11968,PERMANENT MISSION OF YEMEN,"413 EAST 51ST STREET NEW YORK, NY 10022",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,12006,"ELSBETH SEASON 2 - CBS STUDIOS, INC.","120 JEWEL STREET BROOKLYN, NY 11222",,,,,,
2,1064,BUSINESS,Base,17,ANTHONY H.,12022,CRIMINAL COURT OF NEW YORK CITY CENTRAL SERVICE,"3300 NORTHERN BLVD6TH FLOOR LONG ISLAND CITY, NY 11101",,,,,,
2,1064,BUSINESS,Base,19,FA - LOCAL,10131,GIBSON DUNN NEW YORK,"GIBSON DUNN & CRUTCHER LLP333 SOUTH GRAND AVE LOS ANGELES, CA 90071",,,,,,
2,1064,BUSINESS,Base,19,FA - LOCAL,10627,DEMD CLEANING LLC,"643 VANDERBILT STREET - SUTIE 2 BROOKLYN, NY 11218",,,,,,
2,1064,BUSINESS,Base,19,FA - LOCAL,10630,INGRAM YUZEK GAINEN CARROLL & BERTOLOTTI,"INGRAM YUZEK GAINEN CARROLL & - BERTOLOTTI, LLP150 EAST 42ND STREET - 19TH FLOOR NEW YORK, NY 10017",,,,,,
2,1064,BUSINESS,Base,19,FA - LOCAL,10666,MARBLE - POSSIBLE PRODUCTIONS,"POSSIBLE PRODUCTIONS INC-MARBLE NEW ENGLAND STUDIO100 STUDIO WAY, 3RD FLOOR DEVENS, MA 01434",,,,,,
2,1064,BUSINESS,Base,19,FA - LOCAL,10688,"RELIANCE FIRST CAPITAL, LLC","201 OLD COUNTRY ROADSUITE 205 MELVILLE, NY 11747",,,,,,
2,1064,BUSINESS,Base,19,FA - LOCAL,10731,ZADIG & VOLTAIRE,"453 BROOME STREET NEW YORK, NY 10013",,,,,,
2,1064,BUSINESS,Base,19,FA - LOCAL,10748,BEAUTYFIX MEDSPA WESTCHESTER,"1885 PALMER STREET LARCHMONT, NY 10538",,,,,,
2,1064,BUSINESS,Base,19,FA - LOCAL,10752,CROZIER FINE ARTS LONG ISLAND CITY,"CROZIER FINE ARTS NEWARK5357 LEMON GROVE AVENUE - UNIT 6 LOS ANGELES, CA 90038",,,,,,
